data,confirm,suspect,dead,heal
2020-01-13,41,0,1,0
2020-01-14,41,0,1,0
2020-01-15,41,0,2,5
2020-01-16,45,0,2,8
2020-01-17,62,0,2,12
2020-01-18,198,0,3,17
2020-01-19,275,0,4,18
2020-01-20,291,54,6,25
2020-01-21,440,37,9,25
2020-01-22,574,393,17,25
2020-01-23,835,1072,25,34
2020-01-24,1297,1965,41,38
2020-01-25,1985,2684,56,49
2020-01-26,2761,5794,80,51
2020-01-27,4535,6973,106,60
2020-01-28,5997,9239,132,103
2020-01-29,7736,12167,170,124
2020-01-30,9720,15238,213,171
2020-01-31,11821,17988,259,243
2020-02-01,14411,19544,304,328
2020-02-02,17238,21558,361,475
2020-02-03,20471,23214,425,632
2020-02-04,24363,23260,491,892
2020-02-05,28060,24702,564,1153
2020-02-06,31211,26359,637,1542
2020-02-07,34598,27657,723,2052
2020-02-08,37251,28942,812,2651
2020-02-09,40235,23589,909,3283
2020-02-10,42708,21675,1017,3998
2020-02-11,44730,16067,1114,4742
2020-02-12,59882,13435,1368,5915
2020-02-13,63932,10109,1381,6728
2020-02-14,66576,8969,1524,8101
2020-02-15,68584,8228,1666,9425
2020-02-16,70635,7264,1772,10853
2020-02-17,72528,6242,1870,12561
2020-02-18,74279,5248,2006,14387
2020-02-19,75002,4922,2121,16157
2020-02-20,75993,5206,2239,18266
2020-02-21,76392,5365,2348,20673
2020-02-22,77041,4148,2445,22907
2020-02-23,77262,3434,2595,24757
2020-02-24,77779,2824,2666,27353
2020-02-25,78190,2491,2718,29775
2020-02-26,78630,2358,2747,32531
2020-02-27,78959,2308,2791,36157
2020-02-28,79389,1418,2838,39049
2020-02-29,79968,851,2873,41675
2020-03-01,80174,715,2915,44518
2020-03-02,80302,587,2946,47260
2020-03-03,80422,520,2984,49914
2020-03-04,80565,522,3015,52109
2020-03-05,80710,482,3045,53793
2020-03-06,80813,502,3073,55477
2020-03-07,80859,458,3100,57143
2020-03-08,80904,421,3123,58684
2020-03-09,80924,349,3140,59982
2020-03-10,80955,285,3162,61567
2020-03-11,80992,253,3173,62887
2020-03-12,81003,147,3180,64216
2020-03-13,81021,115,3194,65649
2020-03-14,81048,113,3204,67022
2020-03-15,81077,134,3218,67863
2020-03-16,81116,128,3231,68799
2020-03-17,81151,119,3242,69725
2020-03-18,81235,105,3250,70547
2020-03-19,81300,104,3253,71284
2020-03-20,81416,106,3261,71876
2020-03-21,81498,118,3267,72382
2020-03-22,81600,136,3276,72841
2020-03-23,81747,132,3283,73299
2020-03-24,81846,134,3287,73791
2020-03-25,81960,159,3293,74196
2020-03-26,82078,189,3298,74737
2020-03-27,82213,184,3301,75122
2020-03-28,82341,174,3306,75600
2020-03-29,82447,168,3311,75937
2020-03-30,82545,183,3314,76225
2020-03-31,82631,172,3321,76415
2020-04-01,82724,153,3327,76610
2020-04-02,82802,135,3331,76785
2020-04-03,82861,114,3335,76984
2020-04-04,82930,107,3338,77210
2020-04-05,83005,88,3340,77348
2020-04-06,83071,89,3340,77450
2020-04-07,83157,83,3342,77586
2020-04-08,83249,73,3344,77711
2020-04-09,83305,53,3345,77838
2020-04-10,83369,44,3349,77935
2020-04-11,83482,82,3349,78020
2020-04-12,83602,72,3351,78145
2020-04-13,83696,72,3351,78262
2020-04-14,83745,73,3352,78389
2020-04-15,83797,63,3352,78504
